,User,Date Submitted,Country,Source URL,Device,Browser,OS,How did you hear about us?,Medium,OSGroup
238,00000000,2018-06-21 06:52:00,Singapore,https://algorit.ma/,desktop,Safari 11.1.1,Mac OS X 10.13.5,"Others - unbound
",Others ,Mac
239,00000000,2018-06-22 08:55:28,Netherlands,https://algorit.ma/,desktop,Chrome 67.0.3396,Mac OS X 10.13.5,Search Engine,Search Engine,Mac
240,00000000,2018-06-22 14:40:20,Indonesia,https://algorit.ma/,phone,Mobile Safari 11.0,iOS 11.4,Friends / Family - from uncle nayoko. ,Friends / Family ,iOS
241,00000000,2018-06-23 14:11:43,Indonesia,https://algorit.ma/,desktop,Opera 53.0.2907,Windows 10,Search Engine,Search Engine,Windows
242,00000000,2018-06-23 14:44:19,Indonesia,https://algorit.ma/,phone,Chrome Mobile 56.0.2924,Android 5.1,Social Media / Online Ads,Social Media / Online Ads,Android
243,00000000,2018-06-24 12:06:51,Indonesia,https://algorit.ma/,phone,Chrome Mobile 67.0.3396,Android 7.0,Search Engine,Search Engine,Android
244,00000000,2018-06-25 03:14:14,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 8,Social Media / Online Ads,Social Media / Online Ads,Windows
245,00000000,2018-06-25 05:43:25,Indonesia,https://algorit.ma/,desktop,Chromium 66.0.3359,Ubuntu,Social Media / Online Ads,Social Media / Online Ads,Linux
246,00000000,2018-06-25 06:51:44,Indonesia,https://algorit.ma/,desktop,Chrome 56.0.2924,Linux,Search Engine,Search Engine,Linux
247,00000000,2018-06-26 07:32:14,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Media Publishing,Media Publishing,Windows
248,00000000,2018-06-26 08:14:10,Indonesia,https://algorit.ma/,desktop,Chrome 66.0.3359,Windows 10,Social Media / Online Ads,Social Media / Online Ads,Windows
249,00000000,2018-06-26 18:41:30,Indonesia,https://algorit.ma/,desktop,Chrome 49.0.2623,Mac OS X 10.6.8,Social Media / Online Ads,Social Media / Online Ads,Mac
250,00000000,2018-06-26 23:09:34,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Media Publishing,Media Publishing,Windows
251,00000000,2018-06-28 08:12:17,Indonesia,https://algorit.ma/,desktop,Firefox 61.0,Windows 7,Social Media / Online Ads,Social Media / Online Ads,Windows
252,00000000,2018-06-28 15:49:25,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 8,Media Publishing,Media Publishing,Windows
253,00000000,2018-06-29 07:55:20,Indonesia,https://algorit.ma/,desktop,Chrome 68.0.3440,Windows 7,Media Publishing,Media Publishing,Windows
254,00000000,2018-06-29 08:04:58,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,"Others - urbanhire
",Others ,Windows
255,00000000,2018-06-30 02:33:13,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Social Media / Online Ads,Social Media / Online Ads,Windows
256,00000000,2018-06-30 07:30:04,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Search Engine,Search Engine,Windows
257,00000000,2018-06-30 13:01:57,Indonesia,https://algorit.ma/,desktop,Chromium 66.0.3359,Ubuntu,Social Media / Online Ads,Social Media / Online Ads,Linux
258,00000000,2018-06-30 13:57:09,Indonesia,https://algorit.ma/?utm_source=Forum&utm_medium=sekolahkoding,desktop,Chrome 67.0.3396,Windows 8.1,Others - Web,Others ,Windows
259,00000000,2018-06-30 17:00:35,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Others - GO-JEK,Others ,Windows
260,00000000,2018-06-30 17:30:22,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Search Engine,Search Engine,Windows
261,00000000,2018-07-02 02:31:19,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Media Publishing,Media Publishing,Windows
262,00000000,2018-07-02 04:24:29,United States,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Others - Gojek Apps,Others ,Windows
263,00000000,2018-07-02 06:23:22,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Media Publishing,Media Publishing,Windows
264,00000000,2018-07-02 11:26:43,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Media Publishing,Media Publishing,Windows
265,00000000,2018-07-02 14:06:55,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 8.1,Others - seminar,Others ,Windows
266,00000000,2018-07-02 15:16:50,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Media Publishing,Media Publishing,Windows
267,00000000,2018-07-03 02:11:56,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Media Publishing,Media Publishing,Windows
268,00000000,2018-07-03 02:41:15,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 7,Search Engine,Search Engine,Windows
269,00000000,2018-07-03 08:09:57,Malaysia,https://algorit.ma/,desktop,Chrome 67.0.3396,Mac OS X 10.13.3,Media Publishing,Media Publishing,Mac
270,00000000,2018-07-03 10:17:15,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Others - GOJEK ,Others ,Windows
271,00000000,2018-07-04 06:11:29,Indonesia,https://algorit.ma/?user_ref=www.kalibrr.id_organic_login,phone,Chrome Mobile 67.0.3396,Android 6.0.1,Social Media / Online Ads,Social Media / Online Ads,Android
272,00000000,2018-07-06 01:53:51,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Mac OS X 10.13.0,Email,Email,Mac
273,00000000,2018-07-06 02:26:29,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Search Engine,Search Engine,Windows
274,00000000,2018-07-06 16:31:58,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Search Engine,Search Engine,Windows
275,00000000,2018-07-07 18:10:33,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 7,Social Media / Online Ads,Social Media / Online Ads,Windows
276,00000000,2018-07-08 13:39:08,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Search Engine,Search Engine,Windows
277,00000000,2018-07-09 03:09:37,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,"Others - internet
",Others ,Windows
278,00000000,2018-07-09 12:11:42,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Social Media / Online Ads,Social Media / Online Ads,Windows
279,00000000,2018-07-10 08:51:51,Japan,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 8.1,Search Engine,Search Engine,Windows
280,00000000,2018-07-13 06:47:29,Indonesia,https://algorit.ma/,desktop,Chrome 65.0.3325,Windows 7,Search Engine,Search Engine,Windows
281,00000000,2018-07-13 10:51:02,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Others - youtube,Others ,Windows
282,00000000,2018-07-13 15:24:32,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Others - seminar,Others ,Windows
283,00000000,2018-07-15 12:08:13,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Mac OS X 10.12.6,Others - Youtube,Others ,Mac
284,00000000,2018-07-16 08:53:27,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Search Engine,Search Engine,Windows
285,00000000,2018-07-17 02:49:41,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 7,Search Engine,Search Engine,Windows
286,00000000,2018-07-17 07:28:58,Indonesia,https://algorit.ma/?user_ref=www.kalibrr.id_organic_job-board__te__management-trainee__5,desktop,Chrome 67.0.3396,Windows 7,Social Media / Online Ads,Social Media / Online Ads,Windows
287,00000000,2018-07-17 09:20:07,Indonesia,https://algorit.ma/,desktop,Edge 15.15063,Windows 10,Others - someone tell me,Others ,Windows
288,00000000,2018-07-17 11:24:49,Indonesia,https://algorit.ma/?user_ref=recruitment.bni.co.id_organic_index.php__artikel__detail__odp,desktop,Chrome 67.0.3396,Windows 10,Search Engine,Search Engine,Windows
289,00000000,2018-07-18 05:58:01,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Search Engine,Search Engine,Windows
290,00000000,2018-07-18 16:56:31,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Media Publishing,Media Publishing,Windows
291,00000000,2018-07-19 14:09:23,Indonesia,https://algorit.ma/,phone,Chrome Mobile 67.0.3396,Android 7.1.2,Social Media / Online Ads,Social Media / Online Ads,Android
292,00000000,2018-07-20 02:17:45,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Mac OS X 10.10.5,Search Engine,Search Engine,Mac
293,00000000,2018-07-20 03:31:51,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Mac OS X 10.10.1,Social Media / Online Ads,Social Media / Online Ads,Mac
294,00000000,2018-07-21 04:01:02,Indonesia,https://algorit.ma/,desktop,Opera 54.0.2952,Windows 10,Social Media / Online Ads,Social Media / Online Ads,Windows
295,00000000,2018-07-21 17:12:28,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Media Publishing,Media Publishing,Windows
296,00000000,2018-07-23 07:57:18,Indonesia,https://algorit.ma/,desktop,Firefox 61.0,Windows 8.1,Social Media / Online Ads,Social Media / Online Ads,Windows
297,00000000,2018-07-23 13:22:01,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Search Engine,Search Engine,Windows
